IndicatorID,Indicator Name,Unit,Series Type,Data Type,Frequency,Collection Month,Series Start,Series End,No. Obs
1,General government - National   Final consumption expenditure - Defence,$ Millions,Trend,DERIVED,Quarter,3,9/1/1959 0:00,3/1/2025 0:00,263
2,General government - National   Final consumption expenditure - Non-defence,$ Millions,Trend,DERIVED,Quarter,3,9/1/1959 0:00,3/1/2025 0:00,263
3,General government - National   Final consumption expenditure,$ Millions,Trend,DERIVED,Quarter,3,9/1/1959 0:00,3/1/2025 0:00,263
4,General government - State and local   Final consumption expenditure,$ Millions,Trend,DERIVED,Quarter,3,9/1/1959 0:00,3/1/2025 0:00,263
5,General government   Final consumption expenditure,$ Millions,Trend,DERIVED,Quarter,3,9/1/1959 0:00,3/1/2025 0:00,263
6,Households   Final consumption expenditure,$ Millions,Trend,DERIVED,Quarter,3,9/1/1959 0:00,3/1/2025 0:00,263
7,All sectors   Final consumption expenditure,$ Millions,Trend,DERIVED,Quarter,3,9/1/1959 0:00,3/1/2025 0:00,263
8,Private   Gross fixed capital formation - Dwellings - New and Used,$ Millions,Trend,DERIVED,Quarter,3,9/1/1959 0:00,3/1/2025 0:00,263
9,Private   Gross fixed capital formation - Dwellings - Alterations and additions,$ Millions,Trend,DERIVED,Quarter,3,9/1/1959 0:00,3/1/2025 0:00,263
10,Private   Gross fixed capital formation - Dwellings - Total,$ Millions,Trend,DERIVED,Quarter,3,9/1/1959 0:00,3/1/2025 0:00,263
11,Private   Gross fixed capital formation - Ownership transfer costs,$ Millions,Trend,DERIVED,Quarter,3,9/1/1959 0:00,3/1/2025 0:00,263
12,Private   Gross fixed capital formation - Non-dwelling construction - New building,$ Millions,Trend,DERIVED,Quarter,3,9/1/1976 0:00,3/1/2025 0:00,195
13,Private   Gross fixed capital formation - Non-dwelling construction - New engineering construction,$ Millions,Trend,DERIVED,Quarter,3,9/1/1976 0:00,3/1/2025 0:00,195
14,Private   Gross fixed capital formation - Non-dwelling construction - Total,$ Millions,Trend,DERIVED,Quarter,3,9/1/1959 0:00,3/1/2025 0:00,263
15,Private   Gross fixed capital formation - Machinery and equipment - New,$ Millions,Trend,DERIVED,Quarter,3,9/1/1959 0:00,3/1/2025 0:00,263
16,Private   Gross fixed capital formation - Machinery and equipment - Total,$ Millions,Trend,DERIVED,Quarter,3,9/1/1959 0:00,3/1/2025 0:00,263
17,Private   Gross fixed capital formation - Cultivated biological resources,$ Millions,Trend,DERIVED,Quarter,3,9/1/1985 0:00,3/1/2025 0:00,159
18,Private   Gross fixed capital formation - Intellectual property products - Research and development,$ Millions,Trend,DERIVED,Quarter,3,9/1/1985 0:00,3/1/2025 0:00,159
19,Private   Gross fixed capital formation - Intellectual property products - Mineral and petroleum exploration,$ Millions,Trend,DERIVED,Quarter,3,9/1/1985 0:00,3/1/2025 0:00,159
20,Private   Gross fixed capital formation - Intellectual property products - Computer software,$ Millions,Trend,DERIVED,Quarter,3,9/1/1985 0:00,3/1/2025 0:00,159
21,Private   Gross fixed capital formation - Intellectual property products - Artistic originals,$ Millions,Trend,DERIVED,Quarter,3,9/1/1985 0:00,3/1/2025 0:00,159
22,Private   Gross fixed capital formation - Intellectual property products,$ Millions,Trend,DERIVED,Quarter,3,9/1/1959 0:00,3/1/2025 0:00,263
23,Private   Gross fixed capital formation - Total private business investment,$ Millions,Trend,DERIVED,Quarter,3,9/1/1985 0:00,3/1/2025 0:00,159
24,Private   Gross fixed capital formation,$ Millions,Trend,DERIVED,Quarter,3,9/1/1959 0:00,3/1/2025 0:00,263
25,Public corporations - Commonwealth   Gross fixed capital formation,$ Millions,Trend,DERIVED,Quarter,3,9/1/1959 0:00,3/1/2025 0:00,263
26,Public corporations - State and local   Gross fixed capital formation,$ Millions,Trend,DERIVED,Quarter,3,9/1/1959 0:00,3/1/2025 0:00,263
27,Public corporations   Gross fixed capital formation,$ Millions,Trend,DERIVED,Quarter,3,9/1/1959 0:00,3/1/2025 0:00,263
28,General government - National   Gross fixed capital formation - Defence,$ Millions,Trend,DERIVED,Quarter,3,9/1/1959 0:00,3/1/2025 0:00,263
29,General government - National   Gross fixed capital formation - Non-defence,$ Millions,Trend,DERIVED,Quarter,3,9/1/1959 0:00,3/1/2025 0:00,263
30,General government - National   Gross fixed capital formation,$ Millions,Trend,DERIVED,Quarter,3,9/1/1959 0:00,3/1/2025 0:00,263
31,General government - State and local   Gross fixed capital formation,$ Millions,Trend,DERIVED,Quarter,3,9/1/1959 0:00,3/1/2025 0:00,263
32,General government   Gross fixed capital formation,$ Millions,Trend,DERIVED,Quarter,3,9/1/1959 0:00,3/1/2025 0:00,263
33,Public   Gross fixed capital formation,$ Millions,Trend,DERIVED,Quarter,3,9/1/1959 0:00,3/1/2025 0:00,263
34,All sectors   Gross fixed capital formation,$ Millions,Trend,DERIVED,Quarter,3,9/1/1959 0:00,3/1/2025 0:00,263
35,Domestic final demand,$ Millions,Trend,DERIVED,Quarter,3,9/1/1959 0:00,3/1/2025 0:00,263
36,Changes in inventories,$ Millions,Trend,DERIVED,Quarter,3,9/1/1974 0:00,3/1/2025 0:00,203
37,Gross national expenditure,$ Millions,Trend,DERIVED,Quarter,3,9/1/1959 0:00,3/1/2025 0:00,263
38,Exports of goods and services,$ Millions,Trend,DERIVED,Quarter,3,9/1/1959 0:00,3/1/2025 0:00,263
39,Imports of goods and services,$ Millions,Trend,DERIVED,Quarter,3,9/1/1959 0:00,3/1/2025 0:00,263
40,Statistical discrepancy (E),$ Millions,Trend,DERIVED,Quarter,3,9/1/1959 0:00,3/1/2025 0:00,263
41,GROSS DOMESTIC PRODUCT,$ Millions,Trend,DERIVED,Quarter,3,9/1/1959 0:00,3/1/2025 0:00,263
42,General government - National   Final consumption expenditure - Defence: Percentage changes,Percent,Trend,DERIVED,Quarter,3,12/1/1959 0:00,3/1/2025 0:00,262
43,General government - National   Final consumption expenditure - Non-defence: Percentage changes,Percent,Trend,DERIVED,Quarter,3,12/1/1959 0:00,3/1/2025 0:00,262
44,General government - National   Final consumption expenditure: Percentage changes,Percent,Trend,DERIVED,Quarter,3,12/1/1959 0:00,3/1/2025 0:00,262
45,General government - State and local   Final consumption expenditure: Percentage changes,Percent,Trend,DERIVED,Quarter,3,12/1/1959 0:00,3/1/2025 0:00,262
46,General government   Final consumption expenditure: Percentage changes,Percent,Trend,DERIVED,Quarter,3,12/1/1959 0:00,3/1/2025 0:00,262
47,Households   Final consumption expenditure: Percentage changes,Percent,Trend,DERIVED,Quarter,3,12/1/1959 0:00,3/1/2025 0:00,262
48,All sectors   Final consumption expenditure: Percentage changes,Percent,Trend,DERIVED,Quarter,3,12/1/1959 0:00,3/1/2025 0:00,262
49,Private   Gross fixed capital formation - Dwellings - New and Used: Percentage changes,Percent,Trend,DERIVED,Quarter,3,12/1/1959 0:00,3/1/2025 0:00,262
50,Private   Gross fixed capital formation - Dwellings - Alterations and additions: Percentage changes,Percent,Trend,DERIVED,Quarter,3,12/1/1959 0:00,3/1/2025 0:00,262
51,Private   Gross fixed capital formation - Dwellings - Total: Percentage changes,Percent,Trend,DERIVED,Quarter,3,12/1/1959 0:00,3/1/2025 0:00,262
52,Private   Gross fixed capital formation - Ownership transfer costs: Percentage changes,Percent,Trend,DERIVED,Quarter,3,12/1/1959 0:00,3/1/2025 0:00,262
53,Private   Gross fixed capital formation - Non-dwelling construction - New building: Percentage changes,Percent,Trend,DERIVED,Quarter,3,12/1/1976 0:00,3/1/2025 0:00,194
54,Private   Gross fixed capital formation - Non-dwelling construction - New engineering construction: Percentage changes,Percent,Trend,DERIVED,Quarter,3,12/1/1976 0:00,3/1/2025 0:00,194
55,Private   Gross fixed capital formation - Non-dwelling construction - Total: Percentage changes,Percent,Trend,DERIVED,Quarter,3,12/1/1959 0:00,3/1/2025 0:00,262
56,Private   Gross fixed capital formation - Machinery and equipment - New: Percentage changes,Percent,Trend,DERIVED,Quarter,3,12/1/1959 0:00,3/1/2025 0:00,262
