Indicator name,State name,City Name,Date,Value
Index Numbers ;  All groups CPI ;  Sydney ;,,Sydney,9/1/1948 0:00,3.7
Index Numbers ;  All groups CPI ;  Melbourne ;,,Melbourne,9/1/1948 0:00,3.8
Index Numbers ;  All groups CPI ;  Brisbane ;,,Brisbane,9/1/1948 0:00,3.7
Index Numbers ;  All groups CPI ;  Adelaide ;,,Adelaide,9/1/1948 0:00,3.8
Index Numbers ;  All groups CPI ;  Perth ;,,Perth,9/1/1948 0:00,3.7
Index Numbers ;  All groups CPI ;  Hobart ;,,Hobart,9/1/1948 0:00,3.8
Index Numbers ;  All groups CPI ;  Darwin ;,,Darwin,9/1/1948 0:00,
Index Numbers ;  All groups CPI ;  Canberra ;,,Canberra,9/1/1948 0:00,3.9
Index Numbers ;  All groups CPI ;  Australia ;,,Australia,9/1/1948 0:00,3.7
Index Numbers ;  All groups CPI ;  Sydney ;,,Sydney,12/1/1948 0:00,3.7
Index Numbers ;  All groups CPI ;  Melbourne ;,,Melbourne,12/1/1948 0:00,3.8
Index Numbers ;  All groups CPI ;  Brisbane ;,,Brisbane,12/1/1948 0:00,3.7
Index Numbers ;  All groups CPI ;  Adelaide ;,,Adelaide,12/1/1948 0:00,3.9
Index Numbers ;  All groups CPI ;  Perth ;,,Perth,12/1/1948 0:00,3.8
Index Numbers ;  All groups CPI ;  Hobart ;,,Hobart,12/1/1948 0:00,3.9
Index Numbers ;  All groups CPI ;  Darwin ;,,Darwin,12/1/1948 0:00,
Index Numbers ;  All groups CPI ;  Canberra ;,,Canberra,12/1/1948 0:00,4.1
Index Numbers ;  All groups CPI ;  Australia ;,,Australia,12/1/1948 0:00,3.8
Index Numbers ;  All groups CPI ;  Sydney ;,,Sydney,3/1/1949 0:00,3.9
Index Numbers ;  All groups CPI ;  Melbourne ;,,Melbourne,3/1/1949 0:00,3.9
Index Numbers ;  All groups CPI ;  Brisbane ;,,Brisbane,3/1/1949 0:00,3.8
Index Numbers ;  All groups CPI ;  Adelaide ;,,Adelaide,3/1/1949 0:00,4
Index Numbers ;  All groups CPI ;  Perth ;,,Perth,3/1/1949 0:00,3.9
Index Numbers ;  All groups CPI ;  Hobart ;,,Hobart,3/1/1949 0:00,4
